Param: fileName,Line Count
ComparisonFailure.java,651
JUnitCore.java,479
TestWithParametersTest.java,749
ArrayComparisonFailure.java,223
TestResult.java,582
EnumSupplier.java,159
LoggingTestWatcher.java,157
NoTestCases.java,29
DescriptionTest.java,878
AnnotationValidator.java,122
ParametersSuppliedBy.java,93
ConcurrentRunNotifierTest.java,854
Enclosed.java,192
AssumptionTest.java,1295
MoneyBag.java,705
TemporaryFolder.java,520
TestSetup.java,118
AssertionFailedError.java,62
FrameworkFieldTest.java,346
TestWatcher.java,533
NoTestCaseClass.java,22
NoTestsRemainException.java,25
AnnotationTest.java,2683
IgnoredClassRunner.java,106
NameRulesTest.java,232
StubbedTheories.java,371
StackFilterTest.java,260
TestMethod.java,332
ComparisonCompactorTest.java,640
ListTest.java,497
InitializationErrorForwardCompatibilityTest.java,512
TestName.java,57
SuiteTest.java,986
BooleanSupplier.java,104
SortingRequest.java,133
MethodCall.java,294
JUnit4ClassRunner.java,828
TemporaryFolderUsageTest.java,1093
ParallelClassTest.java,470
SpecificDataPointsSupplierTest.java,953
SuiteMethodTest.java,612
AssertionTest.java,3622
ParameterizedTestMethodTest.java,665
JUnit4.java,45
TimeoutTest.java,1924
JUnitCommandLineParseResult.java,740
ExpectException.java,197
EnclosedTest.java,291
PotentialAssignmentTest.java,270
FilterFactoriesTest.java,648
Throwables.java,73
RuleChain.java,209
Suite.java,514
ValidationTest.java,190
ExpectedException.java,491
RuleChainTest.java,312
PotentialAssignment.java,210
AssumptionViolatedExceptionTest.java,615
TestFailure.java,162
DataPoint.java,108
Classes.java,56
PublicClassValidator.java,112
ParallelComputer.java,372
MethodSorterTest.java,818
BlockJUnit4ClassRunnerWithParameters.java,796
Version.java,51
FixMethodOrder.java,82
TheoryTestUtils.java,215
DisableOnDebugTest.java,707
WasRun.java,39
RuleMemberValidatorTest.java,1482
ClassRequest.java,165
ReflectiveCallable.java,67
RunWithTest.java,356
AssumingInTheoriesTest.java,207
RunWith.java,85
TextRunnerSingleMethodTest.java,149
AnnotatedBuilderTest.java,656
SuiteMethod.java,167
OneTestCase.java,45
BlockJUnit4ClassRunnerTest.java,155
ThrowableMessageMatcher.java,192
Verifier.java,87
WithParameterSupplier.java,728
MaxCore.java,788
ClassRulesTest.java,1055
ExpectedExceptionMatcherBuilder.java,238
ParentRunner.java,1759
JUnitSystem.java,34
ExternalResource.java,119
FailedConstructionTest.java,156
FloatAssertTest.java,255
ClassRoadie.java,370
AnnotatedBuilder.java,320
JUnitCoreReturnsCorrectExitCodeTest.java,214
SystemExitTest.java,216
Computer.java,141
TypeMatchingBetweenMultiDataPointsMethod.java,299
FailureList.java,137
TestCase.java,1482
Before.java,62
Describable.java,20
DisableOnDebug.java,218
Failure.java,200
UseSuiteAsASuperclassTest.java,229
CommandLineTest.java,331
Correspondent.java,30
ForwardCompatibilityPrintingTest.java,490
ParameterSupplier.java,37
TestedOn.java,94
PrintableResult.java,231
RunNotifier.java,737
IgnoredBuilder.java,83
Rule.java,68
ResultMatchers.java,263
NullBuilder.java,56
TextListenerTest.java,420
CategoryTest.java,2725
Stopwatch.java,454
MethodRulesTest.java,1515
TextRunnerTest.java,346
WithExtendedParameterSources.java,882
Ignore.java,75
RunnerBuilder.java,366
MultipleFailureException.java,60
Money.java,380
package-info.java,10
FailOnTimeoutTest.java,892
CategoryFilterFactoryTest.java,326
ErrorCollector.java,242
TestListener.java,49
TestRunListener.java,84
WhenNoParametersMatch.java,328
AllTests.java,44
ParameterizedAssertionError.java,283
WithOnlyTestAnnotations.java,453
TestDecorator.java,122
InvokeMethod.java,92
TestCaseTest.java,890
ReguessableValue.java,71
TestRunner.java,838
AssertTest.java,629
ThrowableCauseMatcher.java,198
Description.java,984
ParameterizedTestTest.java,2485
AssumptionViolatedException.java,343
SingleMethodTest.java,931
NoGenericTypeParametersValidator.java,344
ParallelMethodTest.java,345
Stub.java,45
AfterClass.java,62
RunnerTest.java,325
JUnit4TestAdapter.java,437
RepeatedTest.java,148
FilterOptionIntegrationTest.java,1086
ActiveTestTest.java,376
UnsuccessfulWithDataPointFields.java,1120
Sorter.java,150
WithNamedDataPoints.java,387
ComparisonCompactor.java,489
FromDataPoints.java,91
SynchronizedRunListener.java,339
FilterFactories.java,308
NotVoidTestCase.java,39
NoArgTestCaseTest.java,29
ObjectContractTest.java,291
ExternalResourceRuleTest.java,189
MethodSorter.java,310
EventCollector.java,1019
TestWatcherTest.java,923
NotPublicTestCase.java,36
Sortable.java,23
Request.java,394
ThrowableCauseMatcherTest.java,98
UserStopTest.java,160
SynchronizedRunListenerTest.java,815
ClassRule.java,68
CategoriesAndParameterizedTest.java,593
EachTestNotifier.java,233
ExtensionTest.java,418
MultiCategoryTest.java,1478
SuccessfulWithDataPointFields.java,836
RealSystem.java,52
ActiveTestSuite.java,242
VerifierRuleTest.java,785
RuleMemberValidator.java,1245
StoppedByUserException.java,25
MaxHistory.java,760
CouldNotReadCoreException.java,38
SpecificDataPointsSupplier.java,575
JUnit4TestCaseFacade.java,103
ClassRequestTest.java,89
TestDescriptionTest.java,145
MethodRule.java,55
ExpectedExceptionTest.java,1646
DoublePrecisionAssertTest.java,219
Statement.java,25
TestRuleTest.java,2956
AnnotationValidatorFactory.java,163
TestImplementorTest.java,236
JUnitCommandLineParseResultTest.java,864
CategoryFilterFactory.java,199
BlockJUnit4ClassRunner.java,1694
BaseTestRunnerTest.java,204
After.java,62
Runner.java,59
